dateTime,open,low,high,close
30.09.2009,1.4582,1.4573,1.4671,1.4635
01.10.2009,1.4636,1.4516,1.4666,1.4536
02.10.2009,1.4537,1.4479,1.4645,1.457
05.10.2009,1.4587,1.4578,1.4667,1.4647
06.10.2009,1.4647,1.4644,1.476,1.4721
07.10.2009,1.4721,1.4649,1.4734,1.4685
08.10.2009,1.4686,1.4681,1.4814,1.4791
09.10.2009,1.4791,1.4672,1.4792,1.4705
12.10.2009,1.4718,1.4675,1.481,1.4775
13.10.2009,1.4774,1.476,1.4873,1.4851
14.10.2009,1.4851,1.4837,1.4943,1.4932
15.10.2009,1.4932,1.4842,1.4964,1.4935
16.10.2009,1.4934,1.4847,1.4965,1.4892
19.10.2009,1.4892,1.4826,1.4978,1.4964
20.10.2009,1.4964,1.488,1.4991,1.4933
21.10.2009,1.4934,1.4886,1.5043,1.5006
22.10.2009,1.5006,1.4942,1.5036,1.5024
23.10.2009,1.5026,1.4984,1.5058,1.4993
26.10.2009,1.5006,1.4843,1.506,1.4864
27.10.2009,1.4863,1.4769,1.4924,1.4806
28.10.2009,1.4806,1.469,1.4838,1.4712
29.10.2009,1.4713,1.4682,1.4856,1.4837
30.10.2009,1.4836,1.4701,1.4856,1.4719
02.11.2009,1.4726,1.4701,1.4842,1.477
03.11.2009,1.477,1.4624,1.4808,1.4715
04.11.2009,1.4715,1.47,1.4905,1.4875
05.11.2009,1.4876,1.4809,1.4914,1.4872
06.11.2009,1.4871,1.4812,1.4911,1.4844
09.11.2009,1.487,1.4851,1.5018,1.4993
10.11.2009,1.4993,1.4937,1.5017,1.4983
11.11.2009,1.4982,1.4951,1.5045,1.4982
12.11.2009,1.4982,1.482,1.5013,1.4843
13.11.2009,1.4842,1.4823,1.4935,1.4918
16.11.2009,1.4922,1.4879,1.5012,1.4963
17.11.2009,1.4962,1.4806,1.4997,1.4858
18.11.2009,1.4859,1.4858,1.4988,1.4958
19.11.2009,1.4959,1.4841,1.4961,1.4914
20.11.2009,1.4914,1.4799,1.4932,1.4859
23.11.2009,1.485,1.4848,1.4997,1.4959
24.11.2009,1.4959,1.4887,1.4986,1.4961
25.11.2009,1.4961,1.4953,1.5143,1.5134
26.11.2009,1.5135,1.4958,1.5139,1.5006
27.11.2009,1.5006,1.4827,1.5008,1.4965
30.11.2009,1.5009,1.4962,1.5081,1.5005
01.12.2009,1.5005,1.497,1.5115,1.5074
02.12.2009,1.5073,1.503,1.5107,1.5044
03.12.2009,1.5045,1.5036,1.5137,1.5052
04.12.2009,1.5051,1.482,1.5088,1.4842
07.12.2009,1.4867,1.4754,1.4902,1.4826
08.12.2009,1.4825,1.4679,1.4865,1.4702
09.12.2009,1.4702,1.4667,1.4779,1.4736
10.12.2009,1.4736,1.4682,1.4758,1.473
11.12.2009,1.473,1.4584,1.4774,1.4626
14.12.2009,1.461,1.4603,1.4683,1.4648
15.12.2009,1.4647,1.4502,1.4657,1.4534
16.12.2009,1.4534,1.4504,1.4587,1.4528
17.12.2009,1.4528,1.4302,1.4531,1.4347
18.12.2009,1.4347,1.426,1.4409,1.4333
21.12.2009,1.4306,1.4264,1.437,1.4272
22.12.2009,1.4272,1.4216,1.4329,1.4251
23.12.2009,1.4251,1.4232,1.4364,1.4327
24.12.2009,1.4327,1.4326,1.4415,1.4353
28.12.2009,1.4373,1.4353,1.4412,1.4372
29.12.2009,1.4372,1.433,1.4455,1.4347
30.12.2009,1.4348,1.4272,1.4358,1.4335
31.12.2009,1.4335,1.4305,1.4438,1.4331
04.01.2010,1.4327,1.4255,1.4453,1.4413
05.01.2010,1.4412,1.4346,1.4481,1.4359
06.01.2010,1.436,1.4282,1.4432,1.4397
07.01.2010,1.4398,1.4298,1.4442,1.4302
08.01.2010,1.4303,1.4262,1.4436,1.4413
11.01.2010,1.4409,1.4409,1.4553,1.4511
12.01.2010,1.4511,1.4452,1.4543,1.4489
13.01.2010,1.4489,1.4454,1.4577,1.4498
14.01.2010,1.4497,1.4445,1.4553,1.4496
15.01.2010,1.4497,1.4335,1.4509,1.4377
18.01.2010,1.4346,1.4333,1.4398,1.4383
19.01.2010,1.4382,1.425,1.4411,1.4288
20.01.2010,1.4288,1.4079,1.4288,1.4106
21.01.2010,1.4105,1.4028,1.414,1.4083
22.01.2010,1.4082,1.4064,1.4178,1.4137
25.01.2010,1.415,1.4127,1.4191,1.4146
26.01.2010,1.4146,1.4041,1.4176,1.4077
27.01.2010,1.4076,1.3993,1.4094,1.403
28.01.2010,1.4031,1.3941,1.4049,1.3959
29.01.2010,1.3959,1.386,1.3984,1.3863
01.02.2010,1.386,1.3851,1.3936,1.3931
02.02.2010,1.3931,1.3884,1.3972,1.3964
03.02.2010,1.3964,1.3884,1.4023,1.3895
04.02.2010,1.3894,1.3714,1.3901,1.3726
05.02.2010,1.3726,1.3583,1.3743,1.3663
08.02.2010,1.365,1.362,1.371,1.3656
09.02.2010,1.3656,1.3647,1.3836,1.3792
10.02.2010,1.3793,1.3675,1.3809,1.3731
11.02.2010,1.3732,1.3594,1.3798,1.3687
12.02.2010,1.3687,1.3529,1.3692,1.3615
15.02.2010,1.3614,1.3577,1.363,1.3598
16.02.2010,1.3597,1.3587,1.3776,1.3757
17.02.2010,1.3757,1.3584,1.3786,1.3601
18.02.2010,1.36,1.3482,1.3651,1.3486
19.02.2010,1.3487,1.3444,1.3604,1.3592
22.02.2010,1.3611,1.3572,1.3651,1.3599
23.02.2010,1.36,1.3496,1.3689,1.3511
24.02.2010,1.3511,1.3501,1.3623,1.3535
25.02.2010,1.3535,1.345,1.3568,1.3539
26.02.2010,1.354,1.3528,1.368,1.3614
01.03.2010,1.3621,1.346,1.3651,1.3565
02.03.2010,1.3566,1.3434,1.3619,1.3605
03.03.2010,1.3605,1.3591,1.3733,1.3694
04.03.2010,1.3694,1.355,1.371,1.3577
05.03.2010,1.3576,1.3528,1.3628,1.3618
08.03.2010,1.3638,1.3604,1.3701,1.3625
09.03.2010,1.3625,1.3536,1.3633,1.3599
10.03.2010,1.3599,1.3543,1.3676,1.3654
11.03.2010,1.3654,1.3619,1.3684,1.3675
12.03.2010,1.3675,1.3668,1.3793,1.376
15.03.2010,1.3759,1.3638,1.3773,1.3671
16.03.2010,1.367,1.3655,1.3781,1.3762
17.03.2010,1.3763,1.3725,1.3815,1.3733
18.03.2010,1.3734,1.3585,1.3738,1.3605
19.03.2010,1.3605,1.3501,1.3624,1.3527
22.03.2010,1.3516,1.3461,1.3565,1.3556
23.03.2010,1.3556,1.3474,1.3567,1.349
24.03.2010,1.3489,1.3304,1.3491,1.3325
25.03.2010,1.3325,1.3265,1.3384,1.3271
26.03.2010,1.3271,1.3269,1.3422,1.3408
29.03.2010,1.348,1.3417,1.3503,1.3474
30.03.2010,1.3474,1.3394,1.3535,1.3416
31.03.2010,1.3416,1.3383,1.3545,1.3506
01.04.2010,1.3505,1.3458,1.3589,1.3581
02.04.2010,1.3581,1.3473,1.3588,1.3488
05.04.2010,1.3493,1.3458,1.3535,1.348
06.04.2010,1.348,1.3354,1.3494,1.3392
07.04.2010,1.3392,1.3324,1.3406,1.3337
08.04.2010,1.3336,1.3281,1.3363,1.3356
09.04.2010,1.3355,1.334,1.3492,1.3492
12.04.2010,1.3584,1.3564,1.3689,1.3583
13.04.2010,1.3613,1.3544,1.3624,1.3613
14.04.2010,1.3613,1.3594,1.3676,1.3649
15.04.2010,1.3649,1.352,1.3664,1.3579
16.04.2010,1.3579,1.3471,1.3579,1.3507
19.04.2010,1.3476,1.3414,1.3496,1.3487
20.04.2010,1.3488,1.3426,1.3519,1.3438
21.04.2010,1.3439,1.3357,1.3444,1.3386
22.04.2010,1.3385,1.3257,1.3419,1.3286
23.04.2010,1.3285,1.32,1.3396,1.3371
26.04.2010,1.3389,1.3291,1.3411,1.339
27.04.2010,1.3391,1.3143,1.341,1.3164
28.04.2010,1.3164,1.3113,1.3263,1.3204
29.04.2010,1.3204,1.3182,1.3275,1.3241
30.04.2010,1.3241,1.3223,1.3339,1.3312
03.05.2010,1.3328,1.3153,1.333,1.3185
04.05.2010,1.3185,1.2961,1.3211,1.297
05.05.2010,1.2969,1.2788,1.2994,1.2815
06.05.2010,1.2815,1.2519,1.2854,1.263
07.05.2010,1.2629,1.2584,1.2795,1.2728
10.05.2010,1.2942,1.2757,1.309,1.2787
11.05.2010,1.2786,1.2626,1.28,1.2631
12.05.2010,1.2632,1.2603,1.2736,1.2627
13.05.2010,1.2627,1.2515,1.2681,1.2522
14.05.2010,1.2521,1.2357,1.2573,1.2379
17.05.2010,1.2349,1.2233,1.2411,1.2395
18.05.2010,1.2396,1.2157,1.2441,1.2172
19.05.2010,1.2171,1.2142,1.2428,1.2422
20.05.2010,1.2421,1.2294,1.2594,1.2466
